"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.776153780E-1,-1.531272475E-2,-4.926702939E-3,2.130466048E-3,1.622623883E-2
5.801265240E-1,-1.531272475E-2,-1.731003635E-3,2.130466048E-3,1.555682482E-2
5.826376700E-1,-1.211702544E-2,1.464695437E-3,6.391398143E-3,1.377743113E-2
5.851488160E-1,-1.531272475E-2,-6.657706108E-4,4.260932095E-3,1.590843588E-2
5.876599610E-1,-1.531272475E-2,3.994623839E-4,5.326164886E-3,1.621749493E-2
5.901711070E-1,-1.211702544E-2,3.994623839E-4,8.521864191E-3,1.481904332E-2
5.926822530E-1,-9.986559860E-3,3.595161485E-3,5.326164886E-3,1.187537773E-2
5.951933990E-1,-1.531272475E-2,3.595161485E-3,3.195699072E-3,1.605045849E-2
5.977045450E-1,-1.105179265E-2,-1.731003635E-3,3.195699072E-3,1.163404431E-2
6.002156910E-1,-7.856093347E-3,1.464695437E-3,5.326164886E-3,9.603726766E-3
6.027268360E-1,-7.856093347E-3,1.464695437E-3,2.130466048E-3,8.270575614E-3
6.052350140E-1,-6.790860556E-3,1.464695437E-3,3.195699072E-3,7.646804063E-3
6.077462110E-1,-5.725627299E-3,5.725627299E-3,0.000000000E0,8.097259780E-3
6.102573570E-1,-3.595161485E-3,4.660394508E-3,2.130466048E-3,6.259660426E-3
6.127685030E-1,-3.595161485E-3,-6.657706108E-4,3.195699072E-3,4.856019889E-3
6.152796490E-1,1.731003635E-3,3.994623839E-4,3.195699072E-3,3.656287234E-3
6.177907950E-1,2.796236658E-3,4.660394508E-3,1.065233024E-3,5.538315432E-3
6.203019410E-1,3.861469682E-3,3.595161485E-3,2.130466048E-3,5.689905077E-3
6.228130860E-1,3.861469682E-3,-6.657706108E-4,-1.065233024E-3,4.060655121E-3
6.253242320E-1,3.861469682E-3,4.660394508E-3,-2.130466048E-3,6.416315973E-3
6.278353780E-1,9.187635034E-3,5.725627299E-3,4.260932095E-3,1.163404434E-2
6.303465240E-1,8.122402243E-3,4.660394508E-3,-1.065233024E-3,9.424829790E-3
6.328576700E-1,5.991935730E-3,3.595161485E-3,0.000000000E0,6.987737824E-3
6.353728780E-1,7.057168987E-3,5.725627299E-3,-1.065233024E-3,9.149926965E-3
6.378840240E-1,9.187635034E-3,8.921326138E-3,1.065233024E-3,1.285058049E-2
6.403951700E-1,9.187635034E-3,1.105179265E-2,2.130466048E-3,1.452906205E-2
6.429063160E-1,9.187635034E-3,6.790860556E-3,1.065233024E-3,1.147445624E-2
6.454174610E-1,8.122402243E-3,7.856093347E-3,0.000000000E0,1.130007172E-2
6.479286070E-1,5.991935730E-3,8.921326138E-3,-2.130466048E-3,1.095592257E-2
6.504397530E-1,4.926702939E-3,6.790860556E-3,-4.260932095E-3,9.409767864E-3
6.529508990E-1,9.187635034E-3,2.529928461E-3,-3.195699072E-3,1.005115258E-2
6.554620450E-1,8.122402243E-3,1.464695437E-3,0.000000000E0,8.253408443E-3
6.579731910E-1,8.122402243E-3,-1.731003635E-3,0.000000000E0,8.304805343E-3
6.604843360E-1,3.861469682E-3,-5.991935730E-3,-4.260932095E-3,8.304804888E-3
6.629955340E-1,1.025286783E-2,-7.057168987E-3,-2.130466048E-3,1.262789841E-2
6.655098050E-1,4.926702939E-3,-1.557903271E-2,-5.326164886E-3,1.718565374E-2
6.680209510E-1,7.057168987E-3,-1.983996481E-2,-2.130466048E-3,2.116522438E-2
6.705320970E-1,7.057168987E-3,-1.983996481E-2,-1.065233024E-3,2.108465222E-2
6.730432430E-1,5.991935730E-3,-2.090519853E-2,-1.065233024E-3,2.177304161E-2
6.755543890E-1,-3.994623839E-4,-2.290250920E-2,-4.260932095E-3,2.329892787E-2
6.780655340E-1,6.657706108E-4,-2.197043039E-2,-5.326164886E-3,2.261661103E-2
6.805766800E-1,6.657706108E-4,-2.396774292E-2,-2.130466048E-3,2.407145273E-2
6.830878260E-1,-4.660394508E-3,-2.396774292E-2,-2.130466048E-3,2.450940357E-2
6.855989720E-1,-6.790860556E-3,-2.197043039E-2,-4.260932095E-3,2.338741416E-2
6.881101180E-1,-3.595161485E-3,-1.664426550E-2,-2.130466048E-3,1.716087544E-2
6.906212640E-1,-1.464695437E-3,-1.877473295E-2,0.000000000E0,1.883177979E-2
6.931324090E-1,-7.856093347E-3,-1.770949923E-2,-3.195699072E-3,1.963560689E-2
6.956587110E-1,-9.986559860E-3,-1.131810062E-2,-3.195699072E-3,1.542865101E-2
6.981698570E-1,-1.105179265E-2,-7.057168987E-3,0.000000000E0,1.311280881E-2
7.006810030E-1,-1.424749196E-2,-1.131810062E-2,0.000000000E0,1.819589043E-2
7.031921490E-1,-1.105179265E-2,-9.187635034E-3,-2.130466048E-3,1.452906205E-2
7.057032950E-1,-1.424749196E-2,-3.861469682E-3,1.065233024E-3,1.479988840E-2
7.082144410E-1,-1.637795754E-2,-3.861469682E-3,1.065233024E-3,1.686069876E-2
7.107255860E-1,-1.744319126E-2,-3.861469682E-3,2.130466048E-3,1.799207478E-2
7.132367320E-1,-1.744319126E-2,-1.731003635E-3,1.065233024E-3,1.756120771E-2
7.157478780E-1,-1.637795754E-2,-2.796236658E-3,4.260932095E-3,1.715260840E-2
7.182590240E-1,-1.744319126E-2,-1.731003635E-3,2.130466048E-3,1.765786455E-2
7.207701700E-1,-1.744319126E-2,-4.926702939E-3,2.130466048E-3,1.825037558E-2
7.232813160E-1,-1.637795754E-2,-2.796236658E-3,3.195699072E-3,1.691948359E-2
7.257945450E-1,-1.211702544E-2,-4.926702939E-3,-2.130466048E-3,1.325268248E-2
7.283056910E-1,-7.856093347E-3,-4.926702939E-3,3.195699072E-3,9.808317750E-3
7.308168360E-1,-9.986559860E-3,-1.731003635E-3,2.130466048E-3,1.035696080E-2
7.333279820E-1,-4.660394508E-3,-3.861469682E-3,0.000000000E0,6.052290895E-3
7.358391280E-1,-2.529928461E-3,-4.926702939E-3,0.000000000E0,5.538315616E-3
7.383502740E-1,6.657706108E-4,-2.796236658E-3,2.130466048E-3,3.577859072E-3
7.408614200E-1,3.861469682E-3,3.994623839E-4,0.000000000E0,3.882076545E-3
7.433725660E-1,4.926702939E-3,-1.731003635E-3,-1.065233024E-3,5.329493112E-3
7.458837110E-1,7.057168987E-3,-2.796236658E-3,0.000000000E0,7.590953402E-3
7.483948570E-1,2.796236658E-3,2.529928461E-3,2.130466048E-3,4.331092593E-3
7.509060030E-1,8.122402243E-3,5.725627299E-3,2.130466048E-3,1.016342028E-2
7.534171490E-1,9.187635034E-3,6.790860556E-3,2.130466048E-3,1.162184625E-2
7.559186070E-1,1.451379992E-2,6.790860556E-3,4.260932095E-3,1.658076348E-2
7.584297530E-1,1.557903271E-2,8.921326138E-3,2.130466048E-3,1.807858418E-2
7.609408990E-1,1.770949923E-2,7.856093347E-3,3.195699072E-3,1.963560689E-2
7.634520450E-1,1.770949923E-2,1.464695437E-3,1.065233024E-3,1.780186555E-2
7.659631910E-1,1.770949923E-2,4.660394508E-3,1.065233024E-3,1.834340103E-2
7.684743360E-1,1.983996481E-2,3.595161485E-3,2.130466048E-3,2.027531196E-2
7.709854820E-1,2.197043039E-2,3.994623839E-4,-2.130466048E-3,2.207709825E-2
7.734966280E-1,1.983996481E-2,2.529928461E-3,-2.130466048E-3,2.011376710E-2
7.760077740E-1,2.303566411E-2,4.660394508E-3,-2.130466048E-3,2.359872843E-2
7.785189200E-1,2.410089783E-2,1.464695437E-3,1.065233024E-3,2.416885042E-2
7.810300660E-1,2.623136342E-2,-6.657706108E-4,2.130466048E-3,2.632615739E-2
7.835412110E-1,2.623136342E-2,-6.657706108E-4,3.195699072E-3,2.643369383E-2
7.860508470E-1,2.516612969E-2,-6.657706108E-4,2.130466048E-3,2.526492074E-2
7.885619930E-1,2.303566411E-2,-2.796236658E-3,0.000000000E0,2.320475728E-2
7.910731390E-1,2.516612969E-2,-1.731003635E-3,1.065233024E-3,2.524807277E-2
